Category2
" Pennsylvania Cancer Incidence: Age-Adjusted Rates per 100,000"

RateRatio,Cancer_Site,County,Year,Sex,Race_Ethnicity,Age,Stage,Count,Exp_Count,Pop,RateRatioResult,LowerBound_Result,UpperBoundResult,SignificanceResult,County_Code
Age-Adjusted Rate,All Cancers,Adams,2014,Total,All Races,All Ages,Invasive,606,645.8,"101,714",434.2,399.2,471.7,,001
Age-Adjusted Rate,All Cancers,Adams,2014,Total,All Races,All Ages,Early,343,373.7,"101,714",252.2,225.2,281.8,,001
Age-Adjusted Rate,All Cancers,Adams,2014,Total,All Races,All Ages,Late,273,291.6,"101,714",195.7,172.5,221.4,,001
Age-Adjusted Rate,All Cancers,Adams,2014,Total,All Races,All Ages,Unknown,48,47.3,"101,714",32.4,23.8,43.5,,001
Age-Adjusted Rate,All Cancers,Allegheny,2014,Total,All Races,All Ages,Invasive,"7,859","7,575.8","1,231,255",487.9,476.8,499.3,+,003
Age-Adjusted Rate,All Cancers,Allegheny,2014,Total,All Races,All Ages,Early,"4,445","4,350.6","1,231,255",284.5,275.8,293.3,+,003
Age-Adjusted Rate,All Cancers,Allegheny,2014,Total,All Races,All Ages,Late,"3,587","3,414.4","1,231,255",221.2,213.8,228.8,+,003
Age-Adjusted Rate,All Cancers,Allegheny,2014,Total,All Races,All Ages,Unknown,557,581.4,"1,231,255",31.3,28.7,34.2,,003
Age-Adjusted Rate,All Cancers,Armstrong,2014,Total,All Races,All Ages,Invasive,437,465.3,"67,785",440.5,398.3,486.5,,005
Age-Adjusted Rate,All Cancers,Armstrong,2014,Total,All Races,All Ages,Early,250,267.6,"67,785",249.9,218.7,284.8,,005
Age-Adjusted Rate,All Cancers,Armstrong,2014,Total,All Races,All Ages,Late,207,210.3,"67,785",213.3,183.7,246.7,,005
Age-Adjusted Rate,All Cancers,Armstrong,2014,Total,All Races,All Ages,Unknown,23,34.9,"67,785",20.3,12.8,31.6,-,005
Age-Adjusted Rate,All Cancers,Beaver,2014,Total,All Races,All Ages,Invasive,"1,120","1,146.1","169,392",464.8,436.7,494.3,,007
Age-Adjusted Rate,All Cancers,Beaver,2014,Total,All Races,All Ages,Early,591,656.8,"169,392",253.1,232.0,275.7,,007
Age-Adjusted Rate,All Cancers,Beaver,2014,Total,All Races,All Ages,Late,564,518.0,"169,392",228.2,209.1,248.8,,007
Age-Adjusted Rate,All Cancers,Beaver,2014,Total,All Races,All Ages,Unknown,81,87.4,"169,392",33.9,26.5,42.8,,007
Age-Adjusted Rate,All Cancers,Bedford,2014,Total,All Races,All Ages,Invasive,329,336.2,"48,946",464.9,413.9,521.1,,009
Age-Adjusted Rate,All Cancers,Bedford,2014,Total,All Races,All Ages,Early,182,193.4,"48,946",266.2,227.1,310.8,,009
Age-Adjusted Rate,All Cancers,Bedford,2014,Total,All Races,All Ages,Late,151,152.1,"48,946",206.5,173.8,244.4,,009
Age-Adjusted Rate,All Cancers,Bedford,2014,Total,All Races,All Ages,Unknown,15,24.9,"48,946",ND,ND,ND,,009
Age-Adjusted Rate,All Cancers,Berks,2014,Total,All Races,All Ages,Invasive,"2,253","2,370.4","413,691",448.8,430.0,468.3,-,011
Age-Adjusted Rate,All Cancers,Berks,2014,Total,All Races,All Ages,Early,"1,322","1,372.8","413,691",265.8,251.3,281.0,,011
Age-Adjusted Rate,All Cancers,Berks,2014,Total,All Races,All Ages,Late,"1,039","1,068.7","413,691",207.5,194.7,220.9,,011
Age-Adjusted Rate,All Cancers,Berks,2014,Total,All Races,All Ages,Unknown,129,175.3,"413,691",24.5,20.4,29.3,-,011
Age-Adjusted Rate,All Cancers,Blair,2014,Total,All Races,All Ages,Invasive,770,825.0,"125,955",442.9,410.8,476.9,,013
Age-Adjusted Rate,All Cancers,Blair,2014,Total,All Races,All Ages,Early,430,472.9,"125,955",260.6,235.3,288.0,,013
Age-Adjusted Rate,All Cancers,Blair,2014,Total,All Races,All Ages,Late,365,372.5,"125,955",206.4,185.0,229.7,,013
Age-Adjusted Rate,All Cancers,Blair,2014,Total,All Races,All Ages,Unknown,52,63.1,"125,955",27.0,19.9,36.1,,013
Age-Adjusted Rate,All Cancers,Bradford,2014,Total,All Races,All Ages,Invasive,380,409.0,"61,784",441.1,396.2,490.3,,015
Age-Adjusted Rate,All Cancers,Bradford,2014,Total,All Races,All Ages,Early,248,236.0,"61,784",290.6,253.8,331.6,,015
Age-Adjusted Rate,All Cancers,Bradford,2014,Total,All Races,All Ages,Late,152,184.9,"61,784",178.2,150.0,210.6,-,015
Age-Adjusted Rate,All Cancers,Bradford,2014,Total,All Races,All Ages,Unknown,30,29.9,"61,784",34.4,23.0,50.1,,015
Age-Adjusted Rate,All Cancers,Bucks,2014,Total,All Races,All Ages,Invasive,"3,827","3,852.0","626,685",468.0,452.8,483.7,,017
Age-Adjusted Rate,All Cancers,Bucks,2014,Total,All Races,All Ages,Early,"2,442","2,235.0","626,685",301.2,288.9,313.8,+,017
Age-Adjusted Rate,All Cancers,Bucks,2014,Total,All Races,All Ages,Late,"1,629","1,738.5","626,685",197.2,187.4,207.3,-,017
Age-Adjusted Rate,All Cancers,Bucks,2014,Total,All Races,All Ages,Unknown,263,281.6,"626,685",32.0,28.1,36.3,,017
Age-Adjusted Rate,All Cancers,Butler,2014,Total,All Races,All Ages,Invasive,"1,124","1,144.7","185,943",463.1,435.6,492.0,,019
Age-Adjusted Rate,All Cancers,Butler,2014,Total,All Races,All Ages,Early,669,662.7,"185,943",277.5,256.2,300.3,,019
Age-Adjusted Rate,All Cancers,Butler,2014,Total,All Races,All Ages,Late,523,516.4,"185,943",216.5,197.8,236.6,,019
Age-Adjusted Rate,All Cancers,Butler,2014,Total,All Races,All Ages,Unknown,74,84.6,"185,943",28.1,21.9,35.7,,019
Age-Adjusted Rate,All Cancers,Cambria,2014,Total,All Races,All Ages,Invasive,906,946.3,"137,732",454.5,423.7,487.1,,021
Age-Adjusted Rate,All Cancers,Cambria,2014,Total,All Races,All Ages,Early,502,540.1,"137,732",257.0,233.7,282.2,,021
Age-Adjusted Rate,All Cancers,Cambria,2014,Total,All Races,All Ages,Late,427,427.4,"137,732",212.8,192.1,235.4,,021
Age-Adjusted Rate,All Cancers,Cambria,2014,Total,All Races,All Ages,Unknown,45,73.7,"137,732",21.4,15.1,29.7,-,021
Age-Adjusted Rate,All Cancers,Cameron,2014,Total,All Races,All Ages,Invasive,34,37.1,"4,805",388.1,264.4,566.9,,023
Age-Adjusted Rate,All Cancers,Cameron,2014,Total,All Races,All Ages,Early,14,21.3,"4,805",ND,ND,ND,,023
Age-Adjusted Rate,All Cancers,Cameron,2014,Total,All Races,All Ages,Late,14,16.8,"4,805",ND,ND,ND,,023
Age-Adjusted Rate,All Cancers,Cameron,2014,Total,All Races,All Ages,Unknown,7,2.8,"4,805",ND,ND,ND,,023
