,County,Year,Stage,Count,Exp_Count,Pop,RateRatioResult,LowerBound_Result,UpperBoundResult
0,Adams,2014,Invasive,606,645.8,"101,714",434.2,399.2,471.7
1,Adams,2014,Early,343,373.7,"101,714",252.2,225.2,281.8
2,Adams,2014,Late,273,291.6,"101,714",195.7,172.5,221.4
3,Adams,2014,Unknown,48,47.3,"101,714",32.4,23.8,43.5
4,Allegheny,2014,Invasive,"7,859","7,575.80","1,231,255",487.9,476.8,499.3
5,Allegheny,2014,Early,"4,445","4,350.60","1,231,255",284.5,275.8,293.3
6,Allegheny,2014,Late,"3,587","3,414.40","1,231,255",221.2,213.8,228.8
7,Allegheny,2014,Unknown,557,581.4,"1,231,255",31.3,28.7,34.2
8,Armstrong,2014,Invasive,437,465.3,"67,785",440.5,398.3,486.5
9,Armstrong,2014,Early,250,267.6,"67,785",249.9,218.7,284.8
10,Armstrong,2014,Late,207,210.3,"67,785",213.3,183.7,246.7
11,Armstrong,2014,Unknown,23,34.9,"67,785",20.3,12.8,31.6
12,Beaver,2014,Invasive,"1,120","1,146.10","169,392",464.8,436.7,494.3
13,Beaver,2014,Early,591,656.8,"169,392",253.1,232,275.7
14,Beaver,2014,Late,564,518,"169,392",228.2,209.1,248.8
15,Beaver,2014,Unknown,81,87.4,"169,392",33.9,26.5,42.8
16,Bedford,2014,Invasive,329,336.2,"48,946",464.9,413.9,521.1
17,Bedford,2014,Early,182,193.4,"48,946",266.2,227.1,310.8
18,Bedford,2014,Late,151,152.1,"48,946",206.5,173.8,244.4
19,Bedford,2014,Unknown,15,24.9,"48,946",ND,ND,ND
20,Berks,2014,Invasive,"2,253","2,370.40","413,691",448.8,430,468.3
21,Berks,2014,Early,"1,322","1,372.80","413,691",265.8,251.3,281
22,Berks,2014,Late,"1,039","1,068.70","413,691",207.5,194.7,220.9
23,Berks,2014,Unknown,129,175.3,"413,691",24.5,20.4,29.3
24,Blair,2014,Invasive,770,825,"125,955",442.9,410.8,476.9
25,Blair,2014,Early,430,472.9,"125,955",260.6,235.3,288
26,Blair,2014,Late,365,372.5,"125,955",206.4,185,229.7
27,Blair,2014,Unknown,52,63.1,"125,955",27,19.9,36.1
28,Bradford,2014,Invasive,380,409,"61,784",441.1,396.2,490.3
29,Bradford,2014,Early,248,236,"61,784",290.6,253.8,331.6
30,Bradford,2014,Late,152,184.9,"61,784",178.2,150,210.6
31,Bradford,2014,Unknown,30,29.9,"61,784",34.4,23,50.1
32,Bucks,2014,Invasive,"3,827","3,852.00","626,685",468,452.8,483.7
33,Bucks,2014,Early,"2,442","2,235.00","626,685",301.2,288.9,313.8
34,Bucks,2014,Late,"1,629","1,738.50","626,685",197.2,187.4,207.3
35,Bucks,2014,Unknown,263,281.6,"626,685",32,28.1,36.3
36,Butler,2014,Invasive,"1,124","1,144.70","185,943",463.1,435.6,492
37,Butler,2014,Early,669,662.7,"185,943",277.5,256.2,300.3
38,Butler,2014,Late,523,516.4,"185,943",216.5,197.8,236.6
39,Butler,2014,Unknown,74,84.6,"185,943",28.1,21.9,35.7
40,Cambria,2014,Invasive,906,946.3,"137,732",454.5,423.7,487.1
41,Cambria,2014,Early,502,540.1,"137,732",257,233.7,282.2
42,Cambria,2014,Late,427,427.4,"137,732",212.8,192.1,235.4
43,Cambria,2014,Unknown,45,73.7,"137,732",21.4,15.1,29.7
44,Cameron,2014,Invasive,34,37.1,"4,805",388.1,264.4,566.9
45,Cameron,2014,Early,14,21.3,"4,805",ND,ND,ND
46,Cameron,2014,Late,14,16.8,"4,805",ND,ND,ND
47,Cameron,2014,Unknown,7,2.8,"4,805",ND,ND,ND
48,Carbon,2014,Invasive,438,435.9,"64,441",461.4,417.5,509.1
49,Carbon,2014,Early,238,252.1,"64,441",256.3,223.3,293.2
50,Carbon,2014,Late,190,197,"64,441",196.1,168.3,227.7
51,Carbon,2014,Unknown,52,31.8,"64,441",54,40.1,72
52,Centre,2014,Invasive,636,739.3,"158,742",407.7,376,441.5
53,Centre,2014,Early,394,431.3,"158,742",249.9,225.3,276.6
54,Centre,2014,Late,271,332.1,"158,742",176.8,156,199.8
55,Centre,2014,Unknown,53,52.8,"158,742",33.4,24.9,43.9
56,Chester,2014,Invasive,"2,844","2,843.30","512,784",472.3,454.6,490.5
57,Chester,2014,Early,"1,902","1,661.10","512,784",313.5,299.2,328.4
58,Chester,2014,Late,"1,208","1,281.20","512,784",201.8,190.3,213.9
59,Chester,2014,Unknown,208,202.6,"512,784",34.5,29.9,39.7
60,Clarion,2014,Invasive,232,240.6,"38,821",443.2,386.6,506.4
61,Clarion,2014,Early,123,138.9,"38,821",247.7,204.5,298
62,Clarion,2014,Late,107,108.7,"38,821",199.3,162.6,242.7
63,Clarion,2014,Unknown,13,17.6,"38,821",ND,ND,ND
64,Clearfield,2014,Invasive,489,529.6,"81,191",429,390.7,470.3
65,Clearfield,2014,Early,251,305.7,"81,191",227.2,199.1,258.6
66,Clearfield,2014,Late,222,239,"81,191",191.9,167,220
67,Clearfield,2014,Unknown,41,39.5,"81,191",33.4,23.7,46.4
68,Clinton,2014,Invasive,198,232.7,"39,745",401.4,345.9,463.8
69,Clinton,2014,Early,105,134,"39,745",222.9,180.9,272.1
70,Clinton,2014,Late,95,105,"39,745",189.4,152.3,233.5
71,Clinton,2014,Unknown,20,17.3,"39,745",36.1,21.9,57.1
72,Columbia,2014,Invasive,425,400.9,"67,122",499.8,451.6,552.2
73,Columbia,2014,Early,240,231.4,"67,122",282.2,246.1,322.5
74,Columbia,2014,Late,195,180.9,"67,122",231.6,199,268.2
75,Columbia,2014,Unknown,22,29.7,"67,122",24.9,15.3,38.7
76,Crawford,2014,Invasive,568,552.8,"87,175",475,435.2,517.8
77,Crawford,2014,Early,299,320.6,"87,175",254.4,225.2,286.7
78,Crawford,2014,Late,253,249.7,"87,175",211.8,185.5,241
79,Crawford,2014,Unknown,61,39.5,"87,175",50.5,38.2,65.8
80,Cumberland,2014,Invasive,"1,332","1,459.30","243,762",428.8,405.5,453.3
81,Cumberland,2014,Early,803,843.3,"243,762",259.8,241.6,279
82,Cumberland,2014,Late,565,657.7,"243,762",183,167.8,199.2
83,Cumberland,2014,Unknown,103,108.7,"243,762",30.7,24.9,37.5
84,Dauphin,2014,Invasive,"1,505","1,545.70","271,453",456,432.6,480.4
85,Dauphin,2014,Early,923,900.2,"271,453",279.8,261.5,299.1
86,Dauphin,2014,Late,666,696.5,"271,453",203.2,187.6,219.7
87,Dauphin,2014,Unknown,91,110.9,"271,453",26.4,21.2,32.7
88,Delaware,2014,Invasive,"3,289","3,151.40","562,960",486.8,469.8,504.3
89,Delaware,2014,Early,"2,066","1,821.00","562,960",309.7,296.1,323.8
90,Delaware,2014,Late,"1,473","1,419.70","562,960",218.8,207.4,230.6
91,Delaware,2014,Unknown,228,237.3,"562,960",31.4,27.3,35.9
92,Elk,2014,Invasive,246,218.2,"31,194",533.3,465,609.9
93,Elk,2014,Early,115,125.2,"31,194",252.5,205.9,307.7
94,Elk,2014,Late,102,98.7,"31,194",219.8,177.1,270.9
95,Elk,2014,Unknown,36,16.5,"31,194",74.7,51.1,107
96,Erie,2014,Invasive,"1,517","1,602.20","278,443",439.1,416.6,462.6
97,Erie,2014,Early,850,927,"278,443",250,232.9,268.2
98,Erie,2014,Late,673,722,"278,443",195.1,180.2,210.9
99,Erie,2014,Unknown,123,118.6,"278,443",34,28.1,40.8
100,Fayette,2014,Invasive,924,897.8,"134,086",488.5,456.1,522.7
101,Fayette,2014,Early,465,516.5,"134,086",251.3,227.9,276.7
102,Fayette,2014,Late,428,405.2,"134,086",222.1,200.8,245.2
103,Fayette,2014,Unknown,97,67.7,"134,086",50,40.1,61.8
104,Forest,2014,Invasive,40,53.3,"7,518",344,242.7,501.6
105,Forest,2014,Early,16,31.2,"7,518",ND,ND,ND
106,Forest,2014,Late,24,24.1,"7,518",198.2,125.6,331.9
107,Forest,2014,Unknown,4,3.6,"7,518",ND,ND,ND
108,Franklin,2014,Invasive,845,945.7,"152,892",425.6,396.6,456.4
109,Franklin,2014,Early,448,545.2,"152,892",227.5,206.2,250.4
110,Franklin,2014,Late,395,426.9,"152,892",200.9,181.1,222.5
111,Franklin,2014,Unknown,82,70.5,"152,892",37.7,29.9,47.2
112,Fulton,2014,Invasive,97,96.3,"14,632",464.9,374.7,572.8
113,Fulton,2014,Early,56,56,"14,632",276.1,206.4,364.2
114,Fulton,2014,Late,43,43.5,"14,632",200.3,143.8,274.6
115,Fulton,2014,Unknown,9,6.7,"14,632",ND,ND,ND
116,Greene,2014,Invasive,201,231.2,"37,843",410.1,353.7,473.6
117,Greene,2014,Early,114,134.5,"37,843",238.4,195.2,288.8
118,Greene,2014,Late,92,104.2,"37,843",187.5,150.2,231.9
119,Greene,2014,Unknown,13,16.5,"37,843",ND,ND,ND
120,Huntingdon,2014,Invasive,235,291.3,"45,750",375.3,327.4,428.7
121,Huntingdon,2014,Early,145,168.8,"45,750",231.6,194.5,274.3
122,Huntingdon,2014,Late,97,131.4,"45,750",156.6,126,193
123,Huntingdon,2014,Unknown,15,21.1,"45,750",ND,ND,ND
124,Indiana,2014,Invasive,471,522.6,"87,706",431.3,391.5,474.2
125,Indiana,2014,Early,247,301.1,"87,706",230.1,200.9,262.5
126,Indiana,2014,Late,224,235.8,"87,706",203.3,176.5,233.3
127,Indiana,2014,Unknown,41,38.9,"87,706",35.8,25.4,49.5
128,Jefferson,2014,Invasive,309,295.6,"44,638",484.7,430.3,544.7
129,Jefferson,2014,Early,149,169.6,"44,638",237.9,199.8,281.7
130,Jefferson,2014,Late,147,133.7,"44,638",229.5,192.8,271.9
131,Jefferson,2014,Unknown,24,22.4,"44,638",34.4,21.9,52.9
132,Juniata,2014,Invasive,147,162.4,"24,796",430.3,360.8,510.4
133,Juniata,2014,Early,75,93.3,"24,796",220.9,171.5,281.2
134,Juniata,2014,Late,74,73.4,"24,796",221.1,171.9,281.1
135,Juniata,2014,Unknown,11,12.2,"24,796",ND,ND,ND
136,Lackawanna,2014,Invasive,"1,228","1,358.60","212,719",420.6,396.5,445.9
137,Lackawanna,2014,Early,633,778.6,"212,719",223,205.3,242
138,Lackawanna,2014,Late,567,612.8,"212,719",194.4,178.2,211.8
139,Lackawanna,2014,Unknown,137,104.8,"212,719",41.7,34.8,49.6
140,Lancaster,2014,Invasive,"2,805","3,064.10","533,320",426.8,410.7,443.4
141,Lancaster,2014,Early,"1,566","1,763.30","533,320",244.2,231.9,257
142,Lancaster,2014,Late,"1,244","1,381.60","533,320",187.9,177.4,199
